Project Name,Package Name,Type Name,Code Smell
java,me.jellysquid.mods.lithium.common.ai,MemoryModificationCounter,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.ai,ListIterator,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.ai.pathing,BlockStatePathingCache,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.ai.pathing,PathNodeCache,Cyclic-Dependent Modularization
java,me.jellysquid.mods.lithium.common.block,BlockCountingSection,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.block,BlockListeningSection,Cyclic-Dependent Modularization
java,me.jellysquid.mods.lithium.common.block,BlockStateFlagHolder,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.block,BlockStateFlags,Deficient Encapsulation
java,me.jellysquid.mods.lithium.common.block,BlockStateFlags,Cyclic-Dependent Modularization
java,me.jellysquid.mods.lithium.common.block,ListeningBlockStatePredicate,Deficient Encapsulation
java,me.jellysquid.mods.lithium.common.block,TrackedBlockStatePredicate,Deficient Encapsulation
java,me.jellysquid.mods.lithium.common.block,TrackedBlockStatePredicate,Cyclic-Dependent Modularization
java,me.jellysquid.mods.lithium.common.block.entity.inventory_change_tracking,InventoryChangeEmitter,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.block.entity.inventory_change_tracking,InventoryChangeTracker,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.block.entity.inventory_change_tracking,InventoryChangeTracker,Cyclic-Dependent Modularization
java,me.jellysquid.mods.lithium.common.block.entity.inventory_comparator_tracking,ComparatorTracker,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.client,ClientWorldAccessor,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.compat.fabric_transfer_api_v1,FabricTransferApiCompat,Deficient Encapsulation
java,me.jellysquid.mods.lithium.common.compat.worldedit,WorldEditCompat,Unnecessary Abstraction
java,me.jellysquid.mods.lithium.common.compat.worldedit,WorldEditCompat,Deficient Encapsulation
java,me.jellysquid.mods.lithium.common.config,LithiumConfig,Cyclic-Dependent Modularization
java,me.jellysquid.mods.lithium.common.config,Option,Cyclic-Dependent Modularization
java,me.jellysquid.mods.lithium.common.entity.block_tracking,BlockCacheProvider,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.entity.block_tracking,SectionedBlockChangeTracker,Deficient Encapsulation
java,me.jellysquid.mods.lithium.common.entity.block_tracking,SectionedBlockChangeTracker,Cyclic-Dependent Modularization
java,me.jellysquid.mods.lithium.common.entity.block_tracking.block_support,SupportingBlockCollisionShapeProvider,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.entity,EntityClassGroup,Deficient Encapsulation
java,me.jellysquid.mods.lithium.common.entity,NoDragonClassGroup,Deficient Encapsulation
java,me.jellysquid.mods.lithium.common.entity,EquipmentTrackingEntity,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.entity,TickableEnchantmentTrackingEntity,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.entity,FluidCachingEntity,Unnecessary Abstraction
java,me.jellysquid.mods.lithium.common.entity,FluidCachingEntity,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.entity,LithiumEntityCollisions,Deficient Encapsulation
java,me.jellysquid.mods.lithium.common.entity,PositionedEntityTrackingSection,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.entity,TypeFilterableListInternalAccess,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.entity.item,ItemEntityList,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.entity.item,ItemEntityList,Deficient Encapsulation
java,me.jellysquid.mods.lithium.common.entity.item,ItemEntityList,Insufficient Modularization
java,me.jellysquid.mods.lithium.common.entity.movement_tracker,EntityMovementTrackerSection,Cyclic-Dependent Modularization
