Project Name,Package Name,Type Name,Method Name,Code Smell
java,me.jellysquid.mods.lithium.common.ai.pathing,PathNodeCache,getNodeTypeFromNeighbors,Complex Method
java,me.jellysquid.mods.lithium.common.ai.pathing,PathNodeCache,getNodeTypeFromNeighbors,Long Parameter List
java,me.jellysquid.mods.lithium.common.ai.pathing,PathNodeCache,getNodeTypeFromNeighbors,Magic Number
java,me.jellysquid.mods.lithium.common.ai.pathing,PathNodeCache,getNodeTypeFromNeighbors,Magic Number
java,me.jellysquid.mods.lithium.common.ai.pathing,PathNodeCache,getNodeTypeFromNeighbors,Magic Number
java,me.jellysquid.mods.lithium.common.block,TrackedBlockStatePredicate,TrackedBlockStatePredicate,Long Statement
java,me.jellysquid.mods.lithium.common.block.entity.inventory_comparator_tracking,ComparatorTracking,notifyNearbyBlockEntitiesAboutNewComparator,Magic Number
java,me.jellysquid.mods.lithium.common.block.entity.inventory_comparator_tracking,ComparatorTracking,findNearbyComparators,Magic Number
java,me.jellysquid.mods.lithium.common.block.entity,SleepingBlockEntity,sleepOnlyCurrentTick,Long Statement
java,me.jellysquid.mods.lithium.common.config,LithiumConfig,LithiumConfig,Long Statement
java,me.jellysquid.mods.lithium.common.config,LithiumConfig,LithiumConfig,Long Statement
java,me.jellysquid.mods.lithium.common.config,LithiumConfig,LithiumConfig,Magic Number
java,me.jellysquid.mods.lithium.common.config,LithiumConfig,addRuleDependency,Long Statement
java,me.jellysquid.mods.lithium.common.config,LithiumConfig,applyModOverride,Complex Conditional
java,me.jellysquid.mods.lithium.common.config,Option,disableIfDependenciesNotMet,Long Statement
java,me.jellysquid.mods.lithium.common.entity.block_tracking,BlockCache,BlockCache,Magic Number
java,me.jellysquid.mods.lithium.common.entity.block_tracking,ChunkSectionChangeCallback,create,Long Statement
java,me.jellysquid.mods.lithium.common.entity.block_tracking,SectionedBlockChangeTracker,registerAt,Long Statement
java,me.jellysquid.mods.lithium.common.entity.block_tracking,SectionedBlockChangeTracker,register,Complex Method
java,me.jellysquid.mods.lithium.common.entity.block_tracking,SectionedBlockChangeTracker,register,Long Statement
java,me.jellysquid.mods.lithium.common.entity.block_tracking,SectionedBlockChangeTracker,unregister,Long Statement
java,me.jellysquid.mods.lithium.common.entity.block_tracking,SectionedBlockChangeTracker,equals,Long Statement
java,me.jellysquid.mods.lithium.common.entity,EntityClassGroup,contains,Magic Number
