Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
java,me.jellysquid.mods.lithium.common.ai.brain,SensorHelper,disableSensor,15,3,2
java,me.jellysquid.mods.lithium.common.ai.brain,SensorHelper,enableSensor,3,1,2
java,me.jellysquid.mods.lithium.common.ai.brain,SensorHelper,enableSensor,19,5,3
java,me.jellysquid.mods.lithium.common.ai,MemoryModificationCounter,lithium$getModCount,0,1,0
java,me.jellysquid.mods.lithium.common.ai,WeightedListIterable,iterator,0,1,0
java,me.jellysquid.mods.lithium.common.ai,WeightedListIterable,cast,3,1,1
java,me.jellysquid.mods.lithium.common.ai,WeightedListIterable,ListIterator,3,1,1
java,me.jellysquid.mods.lithium.common.ai,WeightedListIterable,hasNext,3,1,0
java,me.jellysquid.mods.lithium.common.ai,WeightedListIterable,next,3,1,0
java,me.jellysquid.mods.lithium.common.ai,ListIterator,ListIterator,3,1,1
java,me.jellysquid.mods.lithium.common.ai,ListIterator,hasNext,3,1,0
java,me.jellysquid.mods.lithium.common.ai,ListIterator,next,3,1,0
java,me.jellysquid.mods.lithium.common.ai.pathing,BlockStatePathingCache,lithium$getPathNodeType,0,1,0
java,me.jellysquid.mods.lithium.common.ai.pathing,BlockStatePathingCache,lithium$getNeighborPathNodeType,0,1,0
java,me.jellysquid.mods.lithium.common.ai.pathing,PathNodeCache,isChunkSectionDangerousNeighbor,3,1,1
java,me.jellysquid.mods.lithium.common.ai.pathing,PathNodeCache,getPathNodeType,3,1,1
java,me.jellysquid.mods.lithium.common.ai.pathing,PathNodeCache,getNeighborPathNodeType,3,1,1
java,me.jellysquid.mods.lithium.common.ai.pathing,PathNodeCache,isSectionSafeAsNeighbor,9,3,1
java,me.jellysquid.mods.lithium.common.ai.pathing,PathNodeCache,getNodeTypeFromNeighbors,52,14,5
java,me.jellysquid.mods.lithium.common.block,BlockCountingSection,lithium$mayContainAny,0,1,1
java,me.jellysquid.mods.lithium.common.block,BlockCountingSection,lithium$trackBlockStateChange,0,1,2
java,me.jellysquid.mods.lithium.common.block,BlockListeningSection,lithium$addToCallback,0,1,4
java,me.jellysquid.mods.lithium.common.block,BlockListeningSection,lithium$removeFromCallback,0,1,2
java,me.jellysquid.mods.lithium.common.block,BlockListeningSection,lithium$invalidateListeningSection,0,1,1
java,me.jellysquid.mods.lithium.common.block,BlockStateFlagHolder,lithium$getAllFlags,0,1,0
java,me.jellysquid.mods.lithium.common.block,BlockStateFlags,test,3,1,1
java,me.jellysquid.mods.lithium.common.block,BlockStateFlags,test,3,1,1
java,me.jellysquid.mods.lithium.common.block,BlockStateFlags,test,3,1,1
java,me.jellysquid.mods.lithium.common.block,BlockStateFlags,test,3,1,1
java,me.jellysquid.mods.lithium.common.block,BlockStateFlags,test,3,1,1
java,me.jellysquid.mods.lithium.common.block,BlockStateFlags,test,3,1,1
java,me.jellysquid.mods.lithium.common.block,ListeningBlockStatePredicate,ListeningBlockStatePredicate,4,1,1
java,me.jellysquid.mods.lithium.common.block,TrackedBlockStatePredicate,TrackedBlockStatePredicate,6,2,1
java,me.jellysquid.mods.lithium.common.block,TrackedBlockStatePredicate,getIndex,3,1,0
java,me.jellysquid.mods.lithium.common.block.entity.inventory_change_tracking,InventoryChangeEmitter,lithium$emitStackListReplaced,0,1,0
java,me.jellysquid.mods.lithium.common.block.entity.inventory_change_tracking,InventoryChangeEmitter,lithium$emitRemoved,0,1,0
java,me.jellysquid.mods.lithium.common.block.entity.inventory_change_tracking,InventoryChangeEmitter,lithium$emitContentModified,0,1,0
java,me.jellysquid.mods.lithium.common.block.entity.inventory_change_tracking,InventoryChangeEmitter,lithium$emitFirstComparatorAdded,0,1,0
java,me.jellysquid.mods.lithium.common.block.entity.inventory_change_tracking,InventoryChangeEmitter,lithium$forwardContentChangeOnce,0,1,3
java,me.jellysquid.mods.lithium.common.block.entity.inventory_change_tracking,InventoryChangeEmitter,lithium$forwardMajorInventoryChanges,0,1,1
java,me.jellysquid.mods.lithium.common.block.entity.inventory_change_tracking,InventoryChangeEmitter,lithium$stopForwardingMajorInventoryChanges,0,1,1
java,me.jellysquid.mods.lithium.common.block.entity.inventory_change_tracking,InventoryChangeEmitter,emitCallbackReplaced,3,1,0
java,me.jellysquid.mods.lithium.common.block.entity.inventory_change_tracking,InventoryChangeListener,handleStackListReplaced,3,1,1
java,me.jellysquid.mods.lithium.common.block.entity.inventory_change_tracking,InventoryChangeListener,lithium$handleInventoryContentModified,0,1,1
java,me.jellysquid.mods.lithium.common.block.entity.inventory_change_tracking,InventoryChangeListener,lithium$handleInventoryRemoved,0,1,1
java,me.jellysquid.mods.lithium.common.block.entity.inventory_change_tracking,InventoryChangeListener,lithium$handleComparatorAdded,0,1,1
